Candidate,Rebellions,EuropeRebellions,NonEuroperebellions,PreCorbynfrontbench,ExCorbynfrontbench,Corbynfrontbench,Resignedwhip,Electedin2017,Electedin2015,TribuneMember,CampaignMember,NominatedOwenSmith,Majority,leavevoteX100,CLPsupportedSmith,CLPsupportedCorbyn,lneurope,lnnoneurope,lntotal,rebellionmedian,noneuropebinary,Europebinary,rebellionsnooutliers,europenooutliers,IsFemale,Backbench,Constituency,whenelected,benchposition,subgroupmembership
Kate Hoey,103,82,21,1,0,0,0,0,0,0,0,0,36.790087569492300,22.43,1,0,4.42,3.09,4.64,1.00,1.00,1.00,#NULL!,#NULL!,1,0,Vauxhall,1.00,2.00,1.00
Graham Stringer,69,60,9,1,0,0,0,0,0,0,0,0,48.864457906414300,51.33,0,1,4.11,2.30,4.25,1.00,1.00,1.00,#NULL!,#NULL!,0,0,Blackley and Broughton,1.00,2.00,1.00
John Mann,46,40,6,0,0,0,1,0,0,0,0,1,9.286124401913870,68.32,0,0,3.71,1.95,3.85,1.00,1.00,1.00,#NULL!,#NULL!,0,1,Bassetlaw,1.00,1.00,1.00
Ronnie Campbell,40,36,4,0,0,0,0,0,0,0,1,0,18.627912449988200,59.88,0,0,3.61,1.61,3.71,1.00,1.00,1.00,#NULL!,#NULL!,0,1,Blyth Valley,1.00,1.00,3.00
Kevin Barron,35,32,3,1,0,0,0,0,0,1,0,1,7.844325897187190,66.72,0,0,3.50,1.39,3.58,1.00,1.00,1.00,#NULL!,#NULL!,0,0,Rother Valley,1.00,2.00,2.00
Stephen Hepburn,31,28,3,0,0,0,0,0,0,0,0,0,40.125049392185500,61.62,0,1,3.37,1.39,3.47,1.00,1.00,1.00,#NULL!,#NULL!,0,1,Jarrow,1.00,1.00,1.00
Frank Field,31,25,6,1,0,0,1,0,0,0,0,0,58.433914298147100,51.71,0,0,3.26,1.95,3.47,1.00,1.00,1.00,#NULL!,#NULL!,0,0,Birkenhead,1.00,2.00,1.00
Caroline Flint,27,25,2,1,0,0,0,0,0,0,0,1,11.239888666608600,68.56,0,0,3.26,1.10,3.33,1.00,1.00,1.00,#NULL!,#NULL!,1,0,Don Valley,1.00,2.00,1.00
Rosie Cooper,23,18,5,0,0,0,0,0,0,0,0,0,21.491478056224600,54.94,0,1,2.94,1.79,3.18,1.00,1.00,1.00,#NULL!,#NULL!,1,1,West Lancashire,1.00,1.00,1.00
Jim Fitzpatrick,17,16,1,1,0,0,0,0,0,0,0,1,47.118033121365600,34.19,0,1,2.83,0.69,2.89,1.00,0.00,1.00,#NULL!,#NULL!,0,0,Poplar and Limehouse,1.00,2.00,1.00
Dennis Skinner,21,13,8,0,0,0,0,0,0,0,1,0,11.367398267374600,70.27,0,1,2.64,2.20,3.09,1.00,1.00,1.00,#NULL!,#NULL!,0,1,Bolsover,1.00,1.00,3.00
Gareth Snell,16,13,3,0,0,0,0,1,0,0,0,0,11.757429476542400,65.02,0,0,2.64,1.39,2.83,1.00,1.00,1.00,#NULL!,#NULL!,0,1,Stoke-on-Trent Central,3.00,1.00,1.00
Paul Williams,14,12,2,0,0,0,0,1,0,0,0,0,1.649821640903680,57.80,0,0,2.56,1.10,2.71,1.00,1.00,1.00,#NULL!,#NULL!,0,1,Stockton South,3.00,1.00,1.00
Roger Godsiff,14,11,3,0,0,0,0,0,0,0,0,1,62.500460320382900,33.57,0,1,2.48,1.39,2.71,1.00,1.00,1.00,#NULL!,#NULL!,0,1,"Birmingham, Hall Green",1.00,1.00,1.00
Laura Smith,10,8,2,0,0,1,0,1,0,0,1,0,0.087229905319207,59.00,0,1,2.20,1.10,2.40,1.00,1.00,1.00,#NULL!,8.00,1,0,Crewe and Nantwich,3.00,4.00,3.00
Sarah Champion,7,7,0,0,1,0,0,0,0,0,0,0,30.026632914062700,68.35,0,0,2.08,0.00,2.08,1.00,0.00,1.00,7.00,7.00,1,0,Rotherham,1.00,3.00,1.00
Ian Austin,10,6,4,1,0,0,1,0,0,0,0,1,0.056540735029556,71.43,0,0,1.95,1.61,2.40,1.00,1.00,1.00,#NULL!,6.00,0,0,Dudley North,1.00,2.00,1.00
Siobhain McDonagh,10,6,4,1,0,0,0,0,0,0,0,1,44.422045804065000,44.69,1,0,1.95,1.61,2.40,1.00,1.00,1.00,#NULL!,6.00,1,0,Mitcham and Morden,1.00,2.00,1.00
Grahame Morris,8,6,2,0,1,0,0,0,0,0,1,0,40.952590474095200,66.57,0,0,1.95,1.10,2.20,1.00,1.00,1.00,8.00,6.00,0,0,Easington,1.00,3.00,3.00
Ruth Smeeth,7,6,1,0,0,0,0,0,1,0,0,1,5.645431484229160,72.12,0,0,1.95,0.69,2.08,1.00,0.00,1.00,7.00,6.00,1,1,Stoke-on-Trent North,2.00,1.00,1.00
Emma Lewell-Buck,7,6,1,0,1,0,0,0,0,0,0,1,35.583243402334900,62.05,0,0,1.95,0.69,2.08,1.00,0.00,1.00,7.00,6.00,1,0,South Shields,1.00,3.00,1.00
Ann Clwyd,11,5,6,1,0,0,0,0,0,0,0,0,41.626312810515000,56.96,0,0,1.79,1.95,2.48,1.00,1.00,1.00,#NULL!,5.00,1,0,Cynon Valley,1.00,2.00,1.00
Anna McMorrin,8,5,3,0,0,0,0,1,0,0,0,0,8.023528507170040,39.08,0,0,1.79,1.39,2.20,1.00,1.00,1.00,8.00,5.00,1,1,Cardiff North,3.00,1.00,1.00
Derek Twigg,6,5,1,1,0,0,0,0,0,0,0,0,51.304576113736400,57.82,0,0,1.79,0.69,1.95,1.00,0.00,1.00,6.00,5.00,0,0,Halton,1.00,2.00,1.00
Yvonne Fovargue,5,4,1,0,1,0,0,0,0,0,0,1,28.853898110071800,65.00,0,0,1.61,0.69,1.79,1.00,0.00,1.00,5.00,4.00,1,0,Makerfield,1.00,3.00,1.00
Jon Cruddas,5,4,1,1,0,0,0,0,0,1,0,1,10.147677944288100,69.93,0,1,1.61,0.69,1.79,1.00,0.00,1.00,5.00,4.00,0,0,Dagenham and Rainham,1.00,2.00,2.00
Mike Hill,5,4,1,0,0,0,0,1,0,0,0,0,18.286124058802400,69.57,0,1,1.61,0.69,1.79,1.00,0.00,1.00,5.00,4.00,0,1,Hartlepool,3.00,1.00,1.00
Melanie Onn,4,4,0,0,1,0,0,0,1,1,0,1,7.221080487598880,71.45,1,0,1.61,0.00,1.61,1.00,0.00,1.00,4.00,4.00,1,0,Great Grimsby,2.00,3.00,2.00
Jo Stevens,9,3,6,0,1,0,0,0,1,1,0,1,42.599152773304900,30.35,0,1,1.39,1.95,2.30,1.00,1.00,1.00,9.00,3.00,1,0,Cardiff Central,2.00,3.00,2.00
Owen Smith,9,3,6,0,1,0,0,0,0,1,0,1,28.696044517972600,45.82,1,0,1.39,1.95,2.30,1.00,1.00,1.00,9.00,3.00,0,0,Pontypridd,1.00,3.00,2.00
John Spellar,8,3,5,1,0,0,0,0,0,0,0,1,40.996368701188800,61.83,0,0,1.39,1.79,2.20,1.00,1.00,1.00,8.00,3.00,0,0,Warley,1.00,2.00,1.00
Helen Jones,8,3,5,1,0,0,0,0,0,0,0,1,19.749778428179800,58.65,0,0,1.39,1.79,2.20,1.00,1.00,1.00,8.00,3.00,1,0,Warrington North,1.00,2.00,1.00
Kevan Jones,6,3,3,0,1,0,0,0,0,0,0,1,29.893263099528600,60.13,0,0,1.39,1.39,1.95,1.00,1.00,1.00,6.00,3.00,0,0,North Durham,1.00,3.00,1.00
Stephanie Peacock,4,3,1,0,0,1,0,1,0,0,0,0,32.575534628212600,70.78,1,0,1.39,0.69,1.61,1.00,0.00,1.00,4.00,3.00,1,0,Barnsley East,3.00,4.00,1.00
Dan Jarvis,3,3,0,1,0,0,0,0,0,1,0,1,39.772814490751400,68.38,0,0,1.39,0.00,1.39,1.00,0.00,1.00,3.00,3.00,0,0,Barnsley Central,1.00,2.00,2.00
Daniel Zeichner,11,2,9,0,1,0,0,0,1,1,0,1,22.635606250223400,26.23,0,0,1.10,2.30,2.48,1.00,1.00,1.00,#NULL!,2.00,0,0,Cambridge,2.00,3.00,2.00
Ian Murray,9,2,7,0,1,0,0,0,0,1,0,1,32.428929765886200,22.15,0,0,1.10,2.08,2.30,1.00,1.00,1.00,9.00,2.00,0,0,Edinburgh South,1.00,3.00,2.00
Adrian Bailey,6,2,4,0,0,0,0,0,0,0,0,1,12.356624369701300,69.14,0,0,1.10,1.61,1.95,1.00,1.00,1.00,6.00,2.00,0,1,West Bromwich West,1.00,1.00,1.00
Chris Bryant,6,2,4,0,1,0,0,0,0,0,0,1,41.735487005100800,61.24,0,0,1.10,1.61,1.95,1.00,1.00,1.00,6.00,2.00,0,0,Rhondda,1.00,3.00,1.00
Tonia Antoniazzi,6,2,4,0,0,0,0,1,0,0,0,0,7.172634720028080,50.18,0,1,1.10,1.61,1.95,1.00,1.00,1.00,6.00,2.00,1,1,Gower,3.00,1.00,1.00
Louise Ellman,5,2,3,0,0,0,1,0,0,1,0,1,74.858392336526400,26.89,0,1,1.10,1.39,1.79,1.00,1.00,1.00,5.00,2.00,1,1,"Liverpool, Riverside",1.00,1.00,2.00
Jim Cunningham,5,2,3,0,0,0,0,0,0,0,0,1,16.905273458273900,48.90,0,0,1.10,1.39,1.79,1.00,1.00,1.00,5.00,2.00,0,1,Coventry South,1.00,1.00,1.00
Wes Streeting,4,2,2,0,0,0,0,0,1,0,0,1,18.207060690202300,52.57,0,0,1.10,1.10,1.61,1.00,1.00,1.00,4.00,2.00,0,1,Ilford North,2.00,1.00,1.00
Neil Coyle,8,1,7,0,1,0,0,0,1,0,0,1,22.166401804480400,27.00,1,0,0.69,2.08,2.20,1.00,1.00,1.00,8.00,1.00,0,0,Bermondsey and Old Southwark,2.00,3.00,1.00
Paul Farrelly,7,1,6,0,0,0,0,0,0,0,0,1,0.068427535240181,61.67,0,1,0.69,1.95,2.08,1.00,1.00,1.00,7.00,1.00,0,1,Newcastle-under-Lyme,1.00,1.00,1.00
Geraint Davies,7,1,6,0,0,0,0,0,0,0,0,0,28.426586556515200,42.66,0,1,0.69,1.95,2.08,1.00,1.00,1.00,7.00,1.00,0,1,Swansea West,1.00,1.00,1.00
Stella Creasy,7,1,6,1,0,0,0,0,0,0,0,1,66.503956961552000,33.49,0,1,0.69,1.95,2.08,1.00,1.00,1.00,7.00,1.00,1,0,Walthamstow,1.00,2.00,1.00
David Lammy,7,1,6,1,0,0,0,0,0,0,0,0,70.094651290054500,23.78,0,1,0.69,1.95,2.08,1.00,1.00,1.00,7.00,1.00,0,0,Tottenham,1.00,2.00,1.00
Barry Sheerman,7,1,6,1,0,0,0,0,0,0,0,1,27.387416160970900,51.08,0,0,0.69,1.95,2.08,1.00,1.00,1.00,7.00,1.00,0,0,Huddersfield,1.00,2.00,1.00
Mike Gapes,6,1,5,0,0,0,1,0,0,0,0,1,54.888391695717700,43.87,0,1,0.69,1.79,1.95,1.00,1.00,1.00,6.00,1.00,0,1,Ilford South,1.00,1.00,1.00
Chris Leslie,6,1,5,1,0,0,1,0,0,0,0,1,49.813105500038100,42.88,0,1,0.69,1.79,1.95,1.00,1.00,1.00,6.00,1.00,0,0,Nottingham East,1.00,2.00,1.00
Catherine McKinnell,6,1,5,0,1,0,0,0,0,0,0,1,21.431825712392300,57.15,1,0,0.69,1.79,1.95,1.00,1.00,1.00,6.00,1.00,1,0,Newcastle upon Tyne North,1.00,3.00,1.00
Ben Bradshaw,6,1,5,1,0,0,0,0,0,0,0,1,29.079984843837300,44.71,0,0,0.69,1.79,1.95,1.00,1.00,1.00,6.00,1.00,0,0,Exeter,1.00,2.00,1.00
Peter Kyle,6,1,5,0,0,0,0,0,1,0,0,1,32.566497673449500,33.92,0,0,0.69,1.79,1.95,1.00,1.00,1.00,6.00,1.00,0,1,Hove,2.00,1.00,1.00
Angela Smith,5,1,4,1,0,0,1,0,0,0,0,1,2.655311627533290,61.35,0,0,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,1,0,Penistone and Stocksbridge,1.00,2.00,1.00
Gavin Shuker,5,1,4,1,0,0,1,0,0,0,0,1,30.184466650770600,55.44,0,1,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,0,0,Luton South,1.00,2.00,1.00
George Howarth,5,1,4,1,0,0,0,0,0,0,0,1,76.084566443775500,52.44,0,1,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,0,0,Knowsley,1.00,2.00,1.00
Kerry McCarthy,5,1,4,0,1,0,0,0,0,0,0,1,26.366660761038600,46.80,0,1,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,1,0,Bristol East,1.00,3.00,1.00
Ruth Cadbury,5,1,4,0,1,0,0,0,1,1,0,1,19.766668289279300,43.31,0,1,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,1,0,Brentford and Isleworth,2.00,3.00,2.00
Tulip Siddiq,5,1,4,0,1,0,0,0,1,0,0,0,26.640642388754700,23.48,0,1,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,1,0,Hampstead and Kilburn,2.00,3.00,1.00
Madeleine Moon,5,1,4,0,0,0,0,0,0,0,0,1,10.865795861750000,49.65,0,0,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,1,1,Bridgend,1.00,1.00,1.00
Rushanara Ali,5,1,4,1,0,0,0,0,0,1,0,1,59.160885917258600,30.93,1,0,0.69,1.61,1.79,1.00,1.00,1.00,5.00,1.00,1,0,Bethnal Green and Bow,1.00,2.00,2.00
Stephen Kinnock,4,1,3,0,0,0,0,0,1,1,0,1,50.381748226523900,59.97,0,0,0.69,1.39,1.61,1.00,1.00,1.00,4.00,1.00,0,1,Aberavon,2.00,1.00,2.00
Phil Wilson,4,1,3,1,0,0,0,0,0,0,0,1,14.568055588949500,58.95,0,0,0.69,1.39,1.61,1.00,1.00,1.00,4.00,1.00,0,0,Sedgefield,1.00,2.00,1.00
Mary Creagh,4,1,3,1,0,0,0,0,0,0,0,1,4.701408694149160,62.77,0,1,0.69,1.39,1.61,1.00,1.00,1.00,4.00,1.00,1,0,Wakefield,1.00,2.00,1.00
Liz Kendall,4,1,3,1,0,0,0,0,0,0,0,1,29.483898485817800,51.67,0,0,0.69,1.39,1.61,1.00,1.00,1.00,4.00,1.00,1,0,Leicester West,1.00,2.00,1.00
